scan,date,time,raw,calibrated
1,24/01/2023 , 13:00:00,817,57.1
2,24/01/2023 , 13:10:00,605,42.3
3,24/01/2023 , 13:20:00,674,47.1
4,24/01/2023 , 13:30:00,1163,81.3
5,24/01/2023 , 13:40:00,2032,142
6,24/01/2023 , 13:50:00,2259,157.9
7,24/01/2023 , 14:00:00,1159,81
8,24/01/2023 , 14:10:00,1016,71
9,24/01/2023 , 14:20:00,765,53.5
10,24/01/2023 , 14:30:00,855,59.8
11,24/01/2023 , 14:40:00,417,29.1
12,24/01/2023 , 14:50:00,525,36.7
13,24/01/2023 , 15:00:00,518,36.2
14,24/01/2023 , 15:10:00,579,40.5
15,24/01/2023 , 15:20:00,1795,125.4
16,24/01/2023 , 15:30:00,1862,130.1
17,24/01/2023 , 15:40:00,675,47.2
18,24/01/2023 , 15:50:00,500,34.9
19,24/01/2023 , 16:00:00,392,27.4
20,24/01/2023 , 16:10:00,1087,76
21,24/01/2023 , 16:20:00,544,38
22,24/01/2023 , 16:30:00,327,22.9
23,24/01/2023 , 16:40:00,328,22.9
24,24/01/2023 , 16:50:00,280,19.6
25,24/01/2023 , 17:00:00,228,15.9
26,24/01/2023 , 17:10:00,216,15.1
27,24/01/2023 , 17:20:00,196,13.7
28,24/01/2023 , 17:30:00,144,10.1
29,24/01/2023 , 17:40:00,108,7.5
30,24/01/2023 , 17:50:00,80,5.6
31,24/01/2023 , 18:00:00,53,3.7
32,24/01/2023 , 18:10:00,29,2
33,24/01/2023 , 18:20:00,9,0.6
34,24/01/2023 , 18:30:00,0,0
35,24/01/2023 , 18:40:00,0,0
36,24/01/2023 , 18:50:00,0,0
37,24/01/2023 , 19:00:00,0,0
38,24/01/2023 , 19:10:00,0,0
39,24/01/2023 , 19:20:00,0,0
40,24/01/2023 , 19:30:00,0,0
41,24/01/2023 , 19:40:00,0,0
42,24/01/2023 , 19:50:00,0,0
43,24/01/2023 , 20:00:00,0,0
44,24/01/2023 , 20:10:00,0,0
45,24/01/2023 , 20:20:00,0,0
46,24/01/2023 , 20:30:00,0,0
47,24/01/2023 , 20:40:00,0,0
48,24/01/2023 , 20:50:00,0,0
49,24/01/2023 , 21:00:00,0,0
50,24/01/2023 , 21:10:00,0,0
51,24/01/2023 , 21:20:00,0,0
52,24/01/2023 , 21:30:00,0,0
53,24/01/2023 , 21:40:00,0,0
54,24/01/2023 , 21:50:00,0,0
55,24/01/2023 , 22:00:00,0,0
56,24/01/2023 , 22:10:00,0,0
57,24/01/2023 , 22:20:00,0,0
58,24/01/2023 , 22:30:00,0,0
59,24/01/2023 , 22:40:00,0,0
60,24/01/2023 , 22:50:00,0,0
61,24/01/2023 , 23:00:00,0,0
62,24/01/2023 , 23:10:00,0,0
63,24/01/2023 , 23:20:00,0,0
64,24/01/2023 , 23:30:00,0,0
65,24/01/2023 , 23:40:00,0,0
66,24/01/2023 , 23:50:00,0,0
67,24/01/2023 , 24:00:00,0,0
68,25/01/2023 , 00:10:00,0,0
69,25/01/2023 , 00:20:00,0,0
70,25/01/2023 , 00:30:00,0,0
71,25/01/2023 , 00:40:00,0,0
72,25/01/2023 , 00:50:00,0,0
73,25/01/2023 , 01:00:00,0,0
74,25/01/2023 , 01:10:00,0,0
75,25/01/2023 , 01:20:00,0,0
76,25/01/2023 , 01:30:00,0,0
77,25/01/2023 , 01:40:00,0,0
78,25/01/2023 , 01:50:00,0,0
79,25/01/2023 , 02:00:00,0,0
80,25/01/2023 , 02:10:00,0,0
81,25/01/2023 , 02:20:00,0,0
82,25/01/2023 , 02:30:00,0,0
83,25/01/2023 , 02:40:00,0,0
84,25/01/2023 , 02:50:00,0,0
85,25/01/2023 , 03:00:00,0,0
86,25/01/2023 , 03:10:00,0,0
87,25/01/2023 , 03:20:00,0,0
88,25/01/2023 , 03:30:00,0,0
89,25/01/2023 , 03:40:00,0,0
90,25/01/2023 , 03:50:00,0,0
91,25/01/2023 , 04:00:00,0,0
92,25/01/2023 , 04:10:00,0,0
93,25/01/2023 , 04:20:00,0,0
94,25/01/2023 , 04:30:00,0,0
95,25/01/2023 , 04:40:00,0,0
96,25/01/2023 , 04:50:00,0,0
97,25/01/2023 , 05:00:00,0,0
98,25/01/2023 , 05:10:00,0,0
99,25/01/2023 , 05:20:00,0,0
100,25/01/2023 , 05:30:00,0,0
101,25/01/2023 , 05:40:00,0,0
102,25/01/2023 , 05:50:00,0,0
103,25/01/2023 , 06:00:00,0,0
104,25/01/2023 , 06:10:00,0,0
105,25/01/2023 , 06:20:00,0,0
106,25/01/2023 , 06:30:00,0,0
