scan,date,time,raw,calibrated
1,23/11/2022 , 14:10:00,3519,228.1
2,23/11/2022 , 14:20:00,2745,177.9
3,23/11/2022 , 14:30:00,3269,211.9
4,23/11/2022 , 14:40:00,5287,342.7
5,23/11/2022 , 14:50:00,8012,519.3
6,23/11/2022 , 15:00:00,2794,181.1
7,23/11/2022 , 15:10:00,3183,206.3
8,23/11/2022 , 15:20:00,3141,203.6
9,23/11/2022 , 15:30:00,2433,157.7
10,23/11/2022 , 15:40:00,2241,145.3
11,23/11/2022 , 15:50:00,3005,194.8
12,23/11/2022 , 16:00:00,3715,240.8
13,23/11/2022 , 16:10:00,3120,202.2
14,23/11/2022 , 16:20:00,2687,174.2
15,23/11/2022 , 16:30:00,3031,196.5
16,23/11/2022 , 16:40:00,2320,150.4
17,23/11/2022 , 16:50:00,1933,125.3
18,23/11/2022 , 17:00:00,1627,105.5
19,23/11/2022 , 17:10:00,1183,76.7
20,23/11/2022 , 17:20:00,837,54.3
21,23/11/2022 , 17:30:00,471,30.5
22,23/11/2022 , 17:40:00,256,16.6
23,23/11/2022 , 17:50:00,122,7.9
24,23/11/2022 , 18:00:00,36,2.3
25,23/11/2022 , 18:10:00,2,0.1
26,23/11/2022 , 18:20:00,0,0
27,23/11/2022 , 18:30:00,0,0
28,23/11/2022 , 18:40:00,0,0
29,23/11/2022 , 18:50:00,0,0
30,23/11/2022 , 19:00:00,0,0
31,23/11/2022 , 19:10:00,0,0
32,23/11/2022 , 19:20:00,0,0
33,23/11/2022 , 19:30:00,0,0
34,23/11/2022 , 19:40:00,0,0
35,23/11/2022 , 19:50:00,0,0
36,23/11/2022 , 20:00:00,0,0
37,23/11/2022 , 20:10:00,0,0
38,23/11/2022 , 20:20:00,0,0
39,23/11/2022 , 20:30:00,0,0
40,23/11/2022 , 20:40:00,0,0
41,23/11/2022 , 20:50:00,0,0
42,23/11/2022 , 21:00:00,0,0
43,23/11/2022 , 21:10:00,0,0
44,23/11/2022 , 21:20:00,0,0
45,23/11/2022 , 21:30:00,0,0
46,23/11/2022 , 21:40:00,0,0
47,23/11/2022 , 21:50:00,0,0
48,23/11/2022 , 22:00:00,0,0
49,23/11/2022 , 22:10:00,0,0
50,23/11/2022 , 22:20:00,0,0
51,23/11/2022 , 22:30:00,0,0
52,23/11/2022 , 22:40:00,0,0
53,23/11/2022 , 22:50:00,0,0
54,23/11/2022 , 23:00:00,0,0
55,23/11/2022 , 23:10:00,0,0
