scan,date,time,raw,calibrated_original,calibrated
1,24/01/2023 , 13:00:00,941,941,NA
2,24/01/2023 , 13:10:00,722,722,NA
3,24/01/2023 , 13:20:00,613,613,NA
4,24/01/2023 , 13:30:00,455,455,84.72998138
5,24/01/2023 , 13:40:00,626,626,116.5735568
6,24/01/2023 , 13:50:00,1568,1568,NA
7,24/01/2023 , 14:00:00,742,742,NA
8,24/01/2023 , 14:10:00,146,146,27.18808194
9,24/01/2023 , 14:20:00,202,202,37.61638734
10,24/01/2023 , 14:30:00,264,264,49.16201117
11,24/01/2023 , 14:40:00,28,28,5.2141527
12,24/01/2023 , 14:50:00,38,38,7.076350093
13,24/01/2023 , 15:00:00,40,40,7.448789572
14,24/01/2023 , 15:10:00,49,49,9.124767225
15,24/01/2023 , 15:20:00,77,77,14.33891993
16,24/01/2023 , 15:30:00,66,66,12.29050279
17,24/01/2023 , 15:40:00,51,51,9.497206704
18,24/01/2023 , 15:50:00,35,35,6.517690875
19,24/01/2023 , 16:00:00,25,25,4.655493482
20,24/01/2023 , 16:10:00,129,129,24.02234637
21,24/01/2023 , 16:20:00,141,141,26.25698324
22,24/01/2023 , 16:30:00,113,113,21.04283054
23,24/01/2023 , 16:40:00,114,114,21.22905028
24,24/01/2023 , 16:50:00,99,99,18.43575419
25,24/01/2023 , 17:00:00,84,84,15.6424581
26,24/01/2023 , 17:10:00,79,79,14.7113594
27,24/01/2023 , 17:20:00,73,73,13.59404097
28,24/01/2023 , 17:30:00,53,53,9.869646182
29,24/01/2023 , 17:40:00,40,40,7.448789572
30,24/01/2023 , 17:50:00,30,30,5.586592179
31,24/01/2023 , 18:00:00,17,17,3.165735568
32,24/01/2023 , 18:10:00,7,7,1.303538175
33,24/01/2023 , 18:20:00,0,0,0
34,24/01/2023 , 18:30:00,0,0,0
35,24/01/2023 , 18:40:00,0,0,0
36,24/01/2023 , 18:50:00,0,0,0
37,24/01/2023 , 19:00:00,0,0,0
38,24/01/2023 , 19:10:00,0,0,0
39,24/01/2023 , 19:20:00,0,0,0
40,24/01/2023 , 19:30:00,0,0,0
41,24/01/2023 , 19:40:00,0,0,0
42,24/01/2023 , 19:50:00,0,0,0
43,24/01/2023 , 20:00:00,0,0,0
44,24/01/2023 , 20:10:00,0,0,0
45,24/01/2023 , 20:20:00,0,0,0
46,24/01/2023 , 20:30:00,0,0,0
47,24/01/2023 , 20:40:00,0,0,0
48,24/01/2023 , 20:50:00,0,0,0
49,24/01/2023 , 21:00:00,0,0,0
50,24/01/2023 , 21:10:00,0,0,0
51,24/01/2023 , 21:20:00,0,0,0
52,24/01/2023 , 21:30:00,0,0,0
53,24/01/2023 , 21:40:00,0,0,0
54,24/01/2023 , 21:50:00,0,0,0
55,24/01/2023 , 22:00:00,0,0,0
56,24/01/2023 , 22:10:00,0,0,0
57,24/01/2023 , 22:20:00,0,0,0
58,24/01/2023 , 22:30:00,0,0,0
59,24/01/2023 , 22:40:00,0,0,0
60,24/01/2023 , 22:50:00,0,0,0
61,24/01/2023 , 23:00:00,0,0,0
62,24/01/2023 , 23:10:00,0,0,0
63,24/01/2023 , 23:20:00,0,0,0
64,24/01/2023 , 23:30:00,0,0,0
65,24/01/2023 , 23:40:00,0,0,0
66,24/01/2023 , 23:50:00,0,0,0
67,24/01/2023 , 24:00:00,0,0,0
68,25/01/2023 , 00:10:00,0,0,0
69,25/01/2023 , 00:20:00,0,0,0
70,25/01/2023 , 00:30:00,0,0,0
71,25/01/2023 , 00:40:00,0,0,0
72,25/01/2023 , 00:50:00,0,0,0
73,25/01/2023 , 01:00:00,0,0,0
74,25/01/2023 , 01:10:00,0,0,0
75,25/01/2023 , 01:20:00,0,0,0
76,25/01/2023 , 01:30:00,0,0,0
77,25/01/2023 , 01:40:00,0,0,0
78,25/01/2023 , 01:50:00,0,0,0
79,25/01/2023 , 02:00:00,0,0,0
80,25/01/2023 , 02:10:00,0,0,0
81,25/01/2023 , 02:20:00,0,0,0
82,25/01/2023 , 02:30:00,0,0,0
83,25/01/2023 , 02:40:00,0,0,0
84,25/01/2023 , 02:50:00,0,0,0
85,25/01/2023 , 03:00:00,0,0,0
86,25/01/2023 , 03:10:00,0,0,0
87,25/01/2023 , 03:20:00,0,0,0
88,25/01/2023 , 03:30:00,0,0,0
89,25/01/2023 , 03:40:00,0,0,0
90,25/01/2023 , 03:50:00,0,0,0
91,25/01/2023 , 04:00:00,0,0,0
92,25/01/2023 , 04:10:00,0,0,0
93,25/01/2023 , 04:20:00,0,0,0
94,25/01/2023 , 04:30:00,0,0,0
95,25/01/2023 , 04:40:00,0,0,0
96,25/01/2023 , 04:50:00,0,0,0
97,25/01/2023 , 05:00:00,0,0,0
98,25/01/2023 , 05:10:00,0,0,0
99,25/01/2023 , 05:20:00,0,0,0
100,25/01/2023 , 05:30:00,0,0,0
101,25/01/2023 , 05:40:00,0,0,0
102,25/01/2023 , 05:50:00,0,0,0
103,25/01/2023 , 06:00:00,0,0,0
104,25/01/2023 , 06:10:00,0,0,0
105,25/01/2023 , 06:20:00,0,0,0
106,25/01/2023 , 06:30:00,0,0,0
107,25/01/2023 , 06:40:00,0,0,0
108,25/01/2023 , 06:50:00,0,0,0
109,25/01/2023 , 07:00:00,0,0,0
110,25/01/2023 , 07:10:00,0,0,0
111,25/01/2023 , 07:20:00,0,0,0
112,25/01/2023 , 07:30:00,0,0,0
113,25/01/2023 , 07:40:00,1,1,0.186219739
114,25/01/2023 , 07:50:00,13,13,2.420856611
115,25/01/2023 , 08:00:00,5,5,0.931098696
116,25/01/2023 , 08:10:00,5,5,0.931098696
117,25/01/2023 , 08:20:00,10,10,1.862197393
118,25/01/2023 , 08:30:00,12,12,2.234636872
119,25/01/2023 , 08:40:00,16,16,2.979515829
120,25/01/2023 , 08:50:00,15,15,2.793296089
121,25/01/2023 , 09:00:00,11,11,2.048417132
122,25/01/2023 , 09:10:00,15,15,2.793296089
