Chunk,Model,Model type,Surface Area (cm^2),Area (cm^2),Surface Area (m^2) by color category: 0,Surface Area (m^2) by color category: 1,Surface Area (m^2) by color category: 2,Surface Area (m^2) by color category: 3,Surface Area (m^2) by color category: 4,Surface Area (m^2) by color category: 5,Surface Area (m^2) by color category: 6,Surface Area (m^2) by color category: 7,Surface Area (m^2) by color category: 8,Surface Area (m^2) by color category: 9,Surface Area (m^2) by color category: 10,Surface Area (m^2) by color category: 11,Surface Area (m^2) by color category: 12,Surface Area (m^2) by color category: 13,Surface Area (m^2) by color category: 14,Surface Area (m^2) by color category: 15,Surface Area (m^2) by color category: 16,Surface Area (m^2) by color category: 17,Surface Area (m^2) by color category: 18,Surface Area (m^2) by color category: 19,Surface Area (m^2) by color category: 20,Surface Area (m^2) by color category: 21,Surface Area (m^2) by color category: 22,Surface Area (m^2) by color category: 23,Surface Area (m^2) by color category: 24,Surface Area (m^2) by color category: 25,Surface Area (m^2) by color category: 26,Surface Area (m^2) by color category: 27,Surface Area (m^2) by color category: 28,Surface Area (m^2) by color category: 29,Surface Area (m^2) by color category: 30,Surface Area (m^2) by color category: 31,Surface Area (m^2) by color category: 32,Surface Area (m^2) by color category: 33,Surface Area (m^2) by color category: 34,Surface Area (m^2) by color category: 35,Max height (cm),Min height (cm),Height range (cm),Volume (cm^3),Extent Volume (cm^3)
652A,652A,Mesh,30.73043152,5.434946977,0,0,0,0.000166782,9.65E-05,3.25E-05,0.000106794,0.00041503,1.44E-05,3.97E-08,1.40E-06,0,0,0,0,3.43E-05,0.000347546,0.000113801,1.22E-06,0.00025147,1.04E-05,1.52E-05,3.09E-05,6.57E-05,0.00012649,0.000227726,0.000412133,2.91E-05,2.87E-05,4.66E-06,0.000174042,0,3.43E-05,2.91E-05,1.65E-06,0.000301005,4.394658201,0.250331752,4.144326448,7.691722828,29.63552337
652B,652B,Mesh,25.13196717,4.62838365,1.36E-05,1.98E-06,0,0.00018334,7.54E-05,0.000120926,4.52E-05,0.000123,7.70E-06,0,6.28E-05,0,0,2.98E-07,0,9.14E-05,0.000347654,0.000183731,1.91E-07,0.000170259,3.71E-05,9.63E-06,6.09E-05,1.28E-05,0.000146444,0.000141174,0.000232864,6.43E-06,0.000212103,5.16E-08,9.41E-05,0,2.46E-05,9.07E-05,0,1.67E-05,3.468296145,0.287670155,3.18062599,6.497543526,18.98168034
652C,652C,Mesh,31.50076226,5.140632928,1.63E-06,9.92E-06,0,0.000116377,5.30E-05,5.79E-05,0.000143137,0.000145243,2.78E-05,1.73E-08,3.82E-05,0,0,1.40E-07,0,0.000109401,0.000471722,0.000387078,1.46E-06,0.000262671,2.23E-05,8.48E-06,0.000100789,1.20E-05,0.000172879,0.00013172,0.000455412,6.04E-05,0.000123101,0,4.74E-05,0,2.56E-05,4.68E-05,2.64E-07,0.000117403,3.899504988,0.279576461,3.619928527,8.876900855,24.81735854
653A,653A,Mesh,52.96868414,8.761496385,1.64E-05,0,0,0.00022974,0.00013383,7.51E-06,2.20E-05,0.000148233,1.38E-06,0,9.45E-06,0,0,3.11E-07,0,0.00032258,0.001444736,0.000239141,2.53E-06,0.000447489,6.87E-05,1.58E-05,0.000281548,5.39E-05,0.000643809,0.000372951,0.000446416,3.00E-05,0.00024977,1.26E-05,8.25E-05,0,8.78E-06,3.48E-06,0,1.41E-06,4.851323037,0.317936801,4.533386237,17.32381131,61.16010823
653B,653B,Mesh,32.76719697,5.954467754,0.000128548,3.78E-06,0,0.00033049,7.34E-05,0,2.62E-06,5.67E-05,1.68E-07,0,4.76E-05,0,0,9.02E-08,0,0.000133427,0.000859982,8.16E-05,0,0.00035704,7.64E-05,2.33E-05,0.000138686,2.42E-05,0.000345263,0.000192251,0.000172316,1.78E-05,0.000155667,3.54E-06,5.09E-05,0,0,3.96E-08,0,9.20E-07,3.860836967,0.340696438,3.52014053,9.393845515,30.78739655
653C,653C,Mesh,53.38387515,10.63651884,5.58E-05,9.92E-07,0,0.00014363,0.000230475,9.24E-05,3.13E-05,0.000128777,6.48E-06,0,6.15E-05,0,0,1.48E-06,0,0.000363307,0.001546948,0.000271384,2.33E-05,0.000102869,0.000106644,2.78E-05,0.000303644,3.26E-05,0.000626651,0.000336187,0.000348988,9.69E-05,0.000192919,0,0.000123682,0,6.18E-05,1.67E-05,4.17E-07,2.84E-06,4.602122431,0.293931688,4.308190743,17.16834352,68.76808417
654A,654A,Mesh,59.36949136,14.13057512,1.12E-05,1.37E-06,0,0.000267064,0.000632281,3.66E-05,9.69E-05,0.000286632,2.68E-06,0,9.04E-07,0,0,0,0,0.000245915,0.000686134,6.37E-05,0,0.000199479,0.00025043,8.06E-05,0.000204971,0.000486472,0.00086374,0.000685352,0.000283402,1.66E-05,0.000149039,3.30E-06,0.000257212,0,3.30E-05,1.39E-05,1.56E-06,7.64E-05,6.323718544,0.331363634,5.99235491,20.13022674,123.4165005
654B,654B,Mesh,64.25440456,15.93851647,8.07E-05,4.79E-06,0,0.000308434,0.000703715,2.89E-05,2.49E-05,0.000469526,6.71E-06,0,2.89E-05,0,0,3.76E-07,0,0.000207208,0.000788476,9.85E-05,0,0.000320798,0.000368467,0.000107815,0.000140289,0.000486439,0.000749161,0.00074016,0.000346291,1.99E-05,0.000227486,7.55E-06,0.000109903,0,3.13E-05,1.45E-05,0,4.34E-06,4.341851196,0.345249309,3.996601888,22.00856328,95.00233465
654C,654C,Mesh,55.57208226,15.68312871,6.21E-05,7.88E-06,0,0.000176417,0.000738435,9.16E-05,0.00031531,0.000261335,2.08E-05,0,3.81E-06,0,0,1.39E-06,0,0.000487344,0.000259722,8.88E-05,2.64E-07,0.000156529,0.000371017,7.29E-05,0.000323012,0.00036635,0.000458367,0.000356458,0.000378108,2.38E-06,0.000190214,1.69E-05,0.00015257,0,6.65E-05,5.83E-05,1.56E-05,5.70E-05,3.683944883,0.314470784,3.369474099,16.32549918,82.14370127
655A,655A,Mesh,32.70914872,6.537017393,0,3.22E-06,0,0.000198511,0.000105335,0.000105041,5.34E-05,9.17E-05,4.48E-06,0,2.21E-05,0,0,0,0,6.39E-05,0.000883934,5.84E-05,0,0.000459279,1.72E-05,6.04E-06,7.76E-05,3.11E-05,0.000292366,0.00026092,0.000150684,1.49E-05,0.000187766,0,6.81E-05,0,5.92E-05,5.48E-05,0,1.02E-06,4.199797686,0.27605838,3.923739307,10.20457696,33.72405762
655B,655B,Mesh,39.81035882,6.201205855,4.88E-08,6.14E-06,0,0.000421776,0.000236282,5.46E-05,2.44E-05,0.000248512,3.43E-06,0,1.48E-05,0,0,0,0,5.86E-05,0.000721153,1.14E-05,0,0.000501128,7.65E-05,2.19E-05,7.91E-05,0.000162886,0.000343094,0.000448907,0.000137195,0,8.21E-05,3.13E-06,0.000266721,0,3.98E-05,1.73E-05,0,1.72E-07,5.568972907,0.351284446,5.21768846,11.27101769,40.07421652
655C,655C,Mesh,40.41913782,10.27560839,0,2.32E-06,0,0.000194211,6.03E-05,2.49E-05,2.97E-05,0.000142139,7.29E-06,2.84E-06,9.93E-06,0,0,0,0,0.000129243,0.001192682,0.000122892,3.44E-06,0.000434551,1.97E-05,1.37E-05,0.000226019,1.78E-05,0.000491163,0.000326319,0.000292994,8.92E-06,0.000124581,0,0.000111774,0,1.80E-05,1.28E-05,1.17E-06,2.05E-05,3.438417055,0.309113759,3.129303296,12.46785245,49.02857794
656A,656A,Mesh,56.17861644,8.121943382,4.17E-05,4.04E-05,1.26E-07,0.000576449,0.00024331,5.85E-05,2.88E-05,0.000144218,1.37E-05,0,3.80E-06,0,0,2.49E-05,0,0.000175835,0.001652727,6.26E-05,0,0.000105101,0.000290123,3.26E-05,0.000216851,9.32E-05,0.000592441,0.000419078,0.000269165,8.64E-06,0.000184255,7.08E-06,0.000166816,0,6.86E-05,4.00E-05,1.93E-05,3.76E-05,5.876146479,0.3687362,5.507410279,22.61275174,68.08832539
656B,656B,Mesh,99.0314587,21.18129413,1.75E-06,0.000101621,2.63E-08,0.000906945,0.000921587,0.00010751,9.60E-05,0.000473386,2.02E-05,0,2.38E-05,0,0,2.97E-05,0,0.000433079,0.001668655,0.0003628,9.96E-06,0.000210844,0.001063197,0.000156759,0.000158025,0.000380403,0.000761061,0.000765774,0.000695075,0.00010134,0.000173747,3.14E-07,0.000107767,0,6.33E-05,5.34E-05,0,5.52E-05,6.239832315,0.306011886,5.933820429,36.40008651,159.4212753
656C,656C,Mesh,70.88055476,13.1603854,0.00012282,0.000115624,8.52E-06,0.001465076,0.00088017,8.99E-05,6.51E-05,6.83E-05,2.62E-05,0,3.34E-05,0,0,1.16E-05,3.42E-06,0.000383528,0.000559074,5.75E-06,6.80E-08,0.00013695,0.00108436,0.000235243,0.000226867,0.000271564,0.00048634,0.000360178,6.26E-05,1.74E-07,0.000155166,3.49E-06,9.08E-05,0,7.31E-05,5.17E-05,9.33E-07,9.97E-06,6.931777269,0.271843666,6.659933603,22.77266747,148.7993905
657A,657A,Mesh,34.13511046,4.516130863,4.55E-05,4.97E-08,0,0.00016582,0.000158709,3.49E-05,4.58E-06,3.00E-05,1.35E-06,0,7.15E-05,0,0,0,0,0.00014409,0.000887657,1.80E-07,0,0.000193773,3.31E-05,3.13E-05,0.000182454,2.65E-05,0.000467241,0.000353134,6.59E-05,2.62E-08,0.000228804,5.62E-07,0.00023288,0,4.02E-05,1.16E-05,0,1.62E-06,5.276461485,0.290766618,4.985694868,10.24671822,28.74843431
657B,657B,Mesh,39.84509377,6.443330582,5.11E-05,0,0,0.000173006,0.000164103,8.43E-07,3.28E-06,0.000101849,0,0,6.72E-05,0,0,0,0,0.00027559,0.000909673,7.72E-06,0,0.000464372,9.03E-05,2.45E-05,0.000222739,8.26E-05,0.00054156,0.000374108,8.88E-05,0,0.00028881,3.63E-07,4.90E-05,0,3.05E-06,0,0,0,4.655440631,0.374488325,4.280952306,12.69581661,35.81151226
657C,657C,Mesh,41.13210626,6.875543882,4.79E-05,2.72E-06,0,0.000273812,0.000107216,3.84E-05,1.81E-05,8.62E-05,8.55E-06,0,4.56E-05,0,0,1.89E-07,0,0.00018077,0.00116231,4.07E-05,0,0.000332933,3.28E-05,1.39E-05,0.000192972,4.62E-05,0.000546935,0.000406234,0.000173918,4.39E-08,0.00017979,1.83E-06,9.91E-05,0,4.25E-05,2.06E-05,0,1.10E-05,4.519853623,0.297918524,4.221935099,14.00617423,40.74978936
658A,658A,Mesh,46.727485,7.946754865,9.51E-06,1.05E-05,0,0.000356634,0.000203256,5.87E-05,8.45E-05,4.12E-05,7.75E-06,1.97E-07,6.21E-05,0,0,9.12E-07,0,0.0002622,0.001247609,4.55E-05,4.63E-07,0.000260655,0.00011968,1.79E-05,0.000367487,1.67E-05,0.000843279,0.000322397,6.51E-05,6.81E-06,8.64E-05,2.60E-07,9.79E-05,0,1.83E-05,2.19E-05,0,3.69E-05,5.826591931,0.306429843,5.520162088,14.87551452,70.1335999
